"appl_type","appl_no","product_no","patent_no","patexpstr","patexp","drugsub","drugprod","patuse","delist"
"N",22577,1,"5922695","Jul 25, 2017",7/25/2017,"Y",,"U-250",
"N",22577,1,"5922695","Jul 25, 2017",7/25/2017,"Y",,"U-256",
"N",22577,1,"5922695","Jul 25, 2017",7/25/2017,"Y",,"U-999",
"N",202123,1,"5922695","Jul 25, 2017",7/25/2017,"Y",,"U-257",
"N",203100,1,"5922695","Jul 25, 2017",7/25/2017,"Y",,"U-257",
"N",21356,1,"5922695*PED","Jan 25, 2018",1/25/2018,,,,
"N",21752,1,"5922695*PED","Jan 25, 2018",1/25/2018,,,,
"N",21937,1,"5922695*PED","Jan 25, 2018",1/25/2018,,,,
"N",22577,1,"5922695*PED","Jan 25, 2018",1/25/2018,,,,
"N",202123,1,"5922695*PED","Jan 25, 2018",1/25/2018,,,,
"N",203100,1,"5922695*PED","Jan 25, 2018",1/25/2018,,,,
"N",22201,1,"5925730","May 18, 2021",5/18/2021,"Y","Y","U-943",
"N",21211,1,"5929028","Jan 14, 2018",1/14/2018,,"Y","U-1366",
"N",21211,1,"5929028","Jan 14, 2018",1/14/2018,,"Y","U-567",
"N",21273,1,"5929028","Jan 14, 2018",1/14/2018,,"Y","U-1366",
"N",21756,1,"5932462","Aug 3, 2016",8/3/2016,"Y",,,
"N",21088,1,"5932547","Jun 13, 2017",6/13/2017,,,,
"N",20886,1,"5932622","Aug 3, 2016",8/3/2016,,,"U-562",
"N",21356,1,"5935946","Jul 25, 2017",7/25/2017,"Y","Y","U-1275",
"N",21356,1,"5935946","Jul 25, 2017",7/25/2017,"Y","Y","U-248",
"N",21356,1,"5935946","Jul 25, 2017",7/25/2017,"Y","Y","U-250",
"N",21356,1,"5935946","Jul 25, 2017",7/25/2017,"Y","Y","U-256",
"N",21356,1,"5935946","Jul 25, 2017",7/25/2017,"Y","Y","U-999",
"N",21752,1,"5935946","Jul 25, 2017",7/25/2017,"Y","Y","U-1170",
"N",21752,1,"5935946","Jul 25, 2017",7/25/2017,"Y","Y","U-1259",
"N",21752,1,"5935946","Jul 25, 2017",7/25/2017,"Y","Y","U-248",
"N",21752,1,"5935946","Jul 25, 2017",7/25/2017,"Y","Y","U-541",
"N",21937,1,"5935946","Jul 25, 2017",7/25/2017,"Y","Y","U-1170",
"N",21937,1,"5935946","Jul 25, 2017",7/25/2017,"Y","Y","U-750",
"N",22577,1,"5935946","Jul 25, 2017",7/25/2017,"Y","Y","U-1275",
"N",22577,1,"5935946","Jul 25, 2017",7/25/2017,"Y","Y","U-248",
"N",22577,1,"5935946","Jul 25, 2017",7/25/2017,"Y","Y","U-250",
"N",22577,1,"5935946","Jul 25, 2017",7/25/2017,"Y","Y","U-256",
"N",22577,1,"5935946","Jul 25, 2017",7/25/2017,"Y","Y","U-999",
"N",202123,1,"5935946","Jul 25, 2017",7/25/2017,"Y","Y","U-257",
"N",203100,1,"5935946","Jul 25, 2017",7/25/2017,"Y","Y","U-257",
"N",21356,1,"5935946*PED","Jan 25, 2018",1/25/2018,,,,
"N",21752,1,"5935946*PED","Jan 25, 2018",1/25/2018,,,,
"N",21937,1,"5935946*PED","Jan 25, 2018",1/25/2018,,,,
"N",22577,1,"5935946*PED","Jan 25, 2018",1/25/2018,,,,
"N",202123,1,"5935946*PED","Jan 25, 2018",1/25/2018,,,,
"N",203100,1,"5935946*PED","Jan 25, 2018",1/25/2018,,,,
"N",20180,1,"5942519","Oct 23, 2018",10/23/2018,,,"U-280",
"N",21910,1,"5945449","Oct 31, 2017",10/31/2017,,"Y","U-785",
"N",22047,1,"5948437","May 28, 2017",5/28/2017,,"Y","U-601",
"N",22047,1,"5948437","May 28, 2017",5/28/2017,,"Y","U-814",
"N",22047,1,"5948437","May 28, 2017",5/28/2017,,"Y","U-839",
"N",22047,1,"5948437*PED","Nov 28, 2017",11/28/2017,,,,
"N",205060,1,"5948818","May 13, 2018",5/13/2018,,"Y",,
"N",21227,1,"5952300","Mar 28, 2017",3/28/2017,,"Y",,
"N",21227,1,"5952300*PED","Sep 28, 2017",9/28/2017,,,,
"N",21337,1,"5952323","May 15, 2017",5/15/2017,,"Y",,
"N",21337,1,"5952323*PED","Nov 15, 2017",11/15/2017,,,,
"N",20239,1,"5952340","Sep 14, 2016",9/14/2016,,,"U-519",
"N",206255,1,"5952372","Sep 18, 2018",9/18/2018,,,"U-1631",
"N",20965,1,"5954703","Oct 31, 2017",10/31/2017,,,"U-289",
"N",20475,1,"5955109","Sep 21, 2016",9/21/2016,,"Y","U-134",
"N",21222,1,"5958915","Oct 14, 2016",10/14/2016,,,,
"N",20646,1,"5958951","Jun 10, 2017",6/10/2017,,,,
"N",21671,1,"5962016","Jan 31, 2017",1/31/2017,,"Y","U-584",
"N",74973,1,"5962461","Aug 7, 2016",8/7/2016,,,,
"N",21055,1,"5962731","Oct 5, 2016",10/5/2016,,,"U-475",
"N",21056,1,"5962731","Oct 5, 2016",10/5/2016,,,,
"N",21747,1,"5964416","Oct 4, 2016",10/4/2016,,"Y",,
"N",21936,1,"5964416","Oct 4, 2016",10/4/2016,,"Y",,
"N",203108,1,"5964416","Oct 4, 2016",10/4/2016,,"Y",,
"N",206756,1,"5964416","Oct 4, 2016",10/4/2016,,"Y",,
"N",21936,1,"5964416*PED","Apr 4, 2017",4/4/2017,,,,
"N",50740,1,"5965156","Oct 12, 2016",10/12/2016,,"Y","U-922",
"N",21632,1,"5965525","Feb 17, 2020",2/17/2020,"Y","Y","U-540",
"N",20912,1,"5965581","Oct 23, 2016",10/23/2016,,,,
"N",20913,1,"5965581","Oct 23, 2016",10/23/2016,,,,
"N",21498,1,"5965590","Jul 3, 2017",7/3/2017,,,"U-523",
"N",21320,1,"5968895","Dec 11, 2016",12/11/2016,,"Y",,
"N",208159,1,"5968914","Oct 19, 2016",10/19/2016,,,"U-1791",
"N",21497,1,"5968961","May 7, 2017",5/7/2017,,"Y",,
"N",21498,1,"5968961","May 7, 2017",5/7/2017,,,,
"N",21902,1,"5968973","Apr 10, 2017",4/10/2017,,,"U-172",
"N",21468,1,"5968976","Oct 26, 2018",10/26/2018,,"Y","U-613",
"N",204734,1,"5968976","Oct 26, 2018",10/26/2018,,"Y","U-1592",
"N",203284,1,"5968979","Jul 28, 2018",7/28/2018,"Y","Y","U-1378",
"N",20702,1,"5969156","Jul 8, 2016",7/8/2016,"Y",,,
"N",21540,1,"5969156","Jul 8, 2016",7/8/2016,"Y",,,
"N",200153,1,"5969156","Jul 8, 2016",7/8/2016,"Y",,,
"N",20702,1,"5969156*PED","Jan 8, 2017",1/8/2017,,,,
"N",21540,1,"5969156*PED","Jan 8, 2017",1/8/2017,,,,
"N",200153,1,"5969156*PED","Jan 8, 2017",1/8/2017,,,,
"N",21744,1,"5972389","Sep 19, 2016",9/19/2016,,"Y","U-663",
"N",20802,1,"5972916","Jul 14, 2017",7/14/2017,,,"U-296",
"N",21835,1,"5972920","Feb 12, 2018",2/12/2018,,"Y",,
"N",20912,1,"5972967","Oct 23, 2016",10/23/2016,,,,
"N",20913,1,"5972967","Oct 23, 2016",10/23/2016,,,,
"N",21283,1,"5972990","Oct 26, 2016",10/26/2016,,,"U-692",
"N",21283,1,"5972990*PED","Apr 26, 2017",4/26/2017,,,,
"N",20468,1,"5976573","Jul 3, 2016",7/3/2016,,"Y","U-295",
"N",20468,1,"5976573","Jul 3, 2016",7/3/2016,,"Y","U-896",
"N",21356,1,"5977089","Jul 25, 2017",7/25/2017,"Y","Y","U-1275",
"N",21356,1,"5977089","Jul 25, 2017",7/25/2017,"Y","Y","U-248",
"N",21356,1,"5977089","Jul 25, 2017",7/25/2017,"Y","Y","U-250",
"N",21356,1,"5977089","Jul 25, 2017",7/25/2017,"Y","Y","U-256",
"N",21356,1,"5977089","Jul 25, 2017",7/25/2017,"Y","Y","U-999",
"N",21752,1,"5977089","Jul 25, 2017",7/25/2017,"Y","Y","U-1170",
"N",21752,1,"5977089","Jul 25, 2017",7/25/2017,"Y","Y","U-1259",
"N",21752,1,"5977089","Jul 25, 2017",7/25/2017,"Y","Y","U-248",
"N",21752,1,"5977089","Jul 25, 2017",7/25/2017,"Y","Y","U-541",
"N",21937,1,"5977089","Jul 25, 2017",7/25/2017,"Y","Y","U-1170",
"N",21937,1,"5977089","Jul 25, 2017",7/25/2017,"Y","Y","U-750",
"N",22577,1,"5977089","Jul 25, 2017",7/25/2017,"Y","Y","U-1275",
"N",22577,1,"5977089","Jul 25, 2017",7/25/2017,"Y","Y","U-248",
"N",22577,1,"5977089","Jul 25, 2017",7/25/2017,"Y","Y","U-250",
"N",22577,1,"5977089","Jul 25, 2017",7/25/2017,"Y","Y","U-256",
"N",22577,1,"5977089","Jul 25, 2017",7/25/2017,"Y","Y","U-999",
"N",202123,1,"5977089","Jul 25, 2017",7/25/2017,"Y","Y","U-257",
"N",203100,1,"5977089","Jul 25, 2017",7/25/2017,"Y","Y","U-257",
"N",21356,1,"5977089*PED","Jan 25, 2018",1/25/2018,,,,
"N",21752,1,"5977089*PED","Jan 25, 2018",1/25/2018,,,,
"N",21937,1,"5977089*PED","Jan 25, 2018",1/25/2018,,,,
"N",22577,1,"5977089*PED","Jan 25, 2018",1/25/2018,,,,
"N",202123,1,"5977089*PED","Jan 25, 2018",1/25/2018,,,,
"N",203100,1,"5977089*PED","Jan 25, 2018",1/25/2018,,,,
"N",20912,1,"5978698","Oct 8, 2017",10/8/2017,,,,
"N",20913,1,"5978698","Oct 8, 2017",10/8/2017,,,,
"N",201277,1,"5980864","Nov 9, 2016",11/9/2016,"Y","Y","U-1119",
"N",18658,1,"5980882","Apr 16, 2017",4/16/2017,,"Y",,
"N",21088,1,"5985305","Jan 30, 2017",1/30/2017,,,,
"N",21235,1,"5985322","May 29, 2017",5/29/2017,,,"U-397",
"N",21235,1,"5985322*PED","Nov 29, 2017",11/29/2017,,,,
"N",21187,1,"5989581","Apr 8, 2018",4/8/2018,,,,
"N",20958,1,"5989588","Sep 30, 2017",9/30/2017,,"Y","U-349",
"N",20958,1,"5989588*PED","Mar 30, 2018",3/30/2018,,,,
"N",21110,1,"5989591","Mar 11, 2018",3/11/2018,,"Y",,
"N",21110,1,"5989591*PED","Sep 11, 2018",9/11/2018,,,,
"N",21835,1,"5990100","Mar 24, 2018",3/24/2018,,"Y","U-742",
"N",204141,1,"5990100","Mar 24, 2018",3/24/2018,,"Y","U-1408",
